epo: 565, rat: 1.00e-02, err: 7.03e-01, obj: 1.13e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.02e-04
epo: 571, rat: 1.00e-02, err: 5.94e-01, obj: 1.10e+00, dat: 1.54e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 577, rat: 1.00e-02, err: 6.95e-01, obj: 1.12e+00, dat: 1.82e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.08e-04
epo: 583, rat: 1.00e-02, err: 6.64e-01, obj: 1.13e+00, dat: 1.81e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.07e-04
epo: 589, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.55e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.04e-04
epo: 596, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.78e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 602, rat: 1.00e-02, err: 6.64e-01, obj: 1.10e+00, dat: 1.54e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
epo: 608, rat: 1.00e-02, err: 7.11e-01, obj: 1.13e+00, dat: 2.13e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.05e-04
epo: 614, rat: 1.00e-02, err: 7.42e-01, obj: 1.11e+00, dat: 1.96e-02, fpp: 4.18e-01, bpp: 3.69e-01, upd: 9.02e-04
epo: 620, rat: 1.00e-02, err: 6.48e-01, obj: 1.10e+00, dat: 1.59e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.06e-04
epo: 627, rat: 1.00e-02, err: 5.86e-01, obj: 1.08e+00, dat: 1.81e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.08e-04
epo: 633, rat: 1.00e-02, err: 6.25e-01, obj: 1.12e+00, dat: 2.02e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.05e-04
epo: 639, rat: 1.00e-02, err: 6.72e-01, obj: 1.13e+00, dat: 1.53e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.05e-04
epo: 645, rat: 1.00e-02, err: 6.41e-01, obj: 1.09e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.16e-04
epo: 651, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 1.86e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.03e-04
epo: 658, rat: 1.00e-02, err: 7.03e-01, obj: 1.11e+00, dat: 1.66e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 664, rat: 1.00e-02, err: 6.41e-01, obj: 1.10e+00, dat: 1.83e-02, fpp: 4.18e-01, bpp: 3.69e-01, upd: 9.01e-04
epo: 670, rat: 1.00e-02, err: 6.80e-01, obj: 1.11e+00, dat: 1.56e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.11e-04
epo: 676, rat: 1.00e-02, err: 6.72e-01, obj: 1.10e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.12e-04
epo: 682, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.97e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.09e-04
epo: 688, rat: 1.00e-02, err: 6.80e-01, obj: 1.11e+00, dat: 1.55e-02, fpp: 4.17e-01, bpp: 3.70e-01, upd: 9.38e-04
epo: 695, rat: 1.00e-02, err: 6.88e-01, obj: 1.10e+00, dat: 1.77e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 701, rat: 1.00e-02, err: 7.11e-01, obj: 1.10e+00, dat: 2.16e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.11e-04
epo: 707, rat: 1.00e-02, err: 6.88e-01, obj: 1.10e+00, dat: 1.65e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.09e-04
epo: 713, rat: 1.00e-02, err: 6.64e-01, obj: 1.12e+00, dat: 1.83e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.09e-04
epo: 719, rat: 1.00e-02, err: 6.88e-01, obj: 1.12e+00, dat: 7.13e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.12e-04
epo: 726, rat: 1.00e-02, err: 6.88e-01, obj: 1.12e+00, dat: 1.98e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.06e-04
epo: 732, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 1.82e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 738, rat: 1.00e-02, err: 6.17e-01, obj: 1.09e+00, dat: 1.56e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.10e-04
epo: 744, rat: 1.00e-02, err: 6.09e-01, obj: 1.11e+00, dat: 1.81e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 750, rat: 1.00e-02, err: 6.09e-01, obj: 1.10e+00, dat: 1.81e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.06e-04
epo: 757, rat: 1.00e-02, err: 6.48e-01, obj: 1.10e+00, dat: 1.66e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.05e-04
epo: 763, rat: 1.00e-02, err: 6.64e-01, obj: 1.13e+00, dat: 1.98e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
epo: 769, rat: 1.00e-02, err: 5.78e-01, obj: 1.08e+00, dat: 1.63e-02, fpp: 4.18e-01, bpp: 3.68e-01, upd: 9.09e-04
epo: 775, rat: 1.00e-02, err: 6.25e-01, obj: 1.12e+00, dat: 1.96e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.08e-04
epo: 781, rat: 1.00e-02, err: 7.11e-01, obj: 1.11e+00, dat: 1.80e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.09e-04
epo: 787, rat: 1.00e-02, err: 6.09e-01, obj: 1.10e+00, dat: 1.57e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.07e-04
epo: 794, rat: 1.00e-02, err: 7.03e-01, obj: 1.11e+00, dat: 1.98e-02, fpp: 4.18e-01, bpp: 3.68e-01, upd: 9.12e-04
epo: 800, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.84e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.11e-04
epo: 806, rat: 1.00e-02, err: 6.09e-01, obj: 1.10e+00, dat: 1.57e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.04e-04
epo: 812, rat: 1.00e-02, err: 5.94e-01, obj: 1.10e+00, dat: 1.95e-02, fpp: 4.18e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 819, rat: 1.00e-02, err: 7.03e-01, obj: 1.11e+00, dat: 7.26e-02, fpp: 4.18e-01, bpp: 3.69e-01, upd: 9.01e-04
epo: 826, rat: 1.00e-02, err: 6.41e-01, obj: 1.10e+00, dat: 2.05e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
epo: 832, rat: 1.00e-02, err: 6.72e-01, obj: 1.11e+00, dat: 1.95e-02, fpp: 4.18e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 837, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 1.56e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.00e-04
epo: 843, rat: 1.00e-02, err: 5.86e-01, obj: 1.08e+00, dat: 1.96e-02, fpp: 4.18e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 850, rat: 1.00e-02, err: 6.72e-01, obj: 1.11e+00, dat: 1.81e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.01e-04
epo: 857, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.61e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.09e-04
epo: 863, rat: 1.00e-02, err: 6.95e-01, obj: 1.13e+00, dat: 1.79e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.09e-04
epo: 869, rat: 1.00e-02, err: 6.88e-01, obj: 1.12e+00, dat: 4.25e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 875, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.97e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.04e-04
epo: 881, rat: 1.00e-02, err: 6.48e-01, obj: 1.11e+00, dat: 1.83e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 888, rat: 1.00e-02, err: 6.72e-01, obj: 1.10e+00, dat: 1.56e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 894, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.80e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 899, rat: 1.00e-02, err: 6.88e-01, obj: 1.10e+00, dat: 1.94e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.09e-04
epo: 905, rat: 1.00e-02, err: 6.64e-01, obj: 1.14e+00, dat: 1.58e-02, fpp: 4.17e-01, bpp: 3.70e-01, upd: 9.02e-04
epo: 911, rat: 1.00e-02, err: 6.80e-01, obj: 1.13e+00, dat: 1.93e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.03e-04
epo: 918, rat: 1.00e-02, err: 6.88e-01, obj: 1.11e+00, dat: 1.99e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 924, rat: 1.00e-02, err: 6.48e-01, obj: 1.11e+00, dat: 1.64e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.07e-04
epo: 930, rat: 1.00e-02, err: 6.64e-01, obj: 1.11e+00, dat: 1.96e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.01e-04
epo: 936, rat: 1.00e-02, err: 6.72e-01, obj: 1.11e+00, dat: 1.60e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.04e-04
epo: 942, rat: 1.00e-02, err: 6.33e-01, obj: 1.10e+00, dat: 2.11e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.02e-04
epo: 948, rat: 1.00e-02, err: 6.95e-01, obj: 1.10e+00, dat: 1.75e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.06e-04
epo: 955, rat: 1.00e-02, err: 7.11e-01, obj: 1.12e+00, dat: 1.55e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.08e-04
epo: 961, rat: 1.00e-02, err: 7.03e-01, obj: 1.12e+00, dat: 2.01e-02, fpp: 4.17e-01, bpp: 3.70e-01, upd: 9.04e-04
epo: 967, rat: 1.00e-02, err: 6.09e-01, obj: 1.09e+00, dat: 1.79e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.03e-04
epo: 973, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.63e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.04e-04
epo: 979, rat: 1.00e-02, err: 5.86e-01, obj: 1.08e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.06e-04
epo: 986, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.54e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.05e-04
epo: 992, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 2.01e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.03e-04
epo: 998, rat: 1.00e-02, err: 6.09e-01, obj: 1.08e+00, dat: 1.95e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
epo: 1004, rat: 1.00e-02, err: 5.62e-01, obj: 1.08e+00, dat: 1.56e-02, fpp: 4.18e-01, bpp: 3.76e-01, upd: 9.17e-04
epo: 1010, rat: 1.00e-02, err: 6.17e-01, obj: 1.08e+00, dat: 1.96e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.10e-04
epo: 1017, rat: 1.00e-02, err: 6.80e-01, obj: 1.12e+00, dat: 1.94e-02, fpp: 4.17e-01, bpp: 3.69e-01, upd: 9.08e-04
epo: 1023, rat: 1.00e-02, err: 6.48e-01, obj: 1.10e+00, dat: 1.58e-02, fpp: 4.17e-01, bpp: 3.68e-01, upd: 9.09e-04
