epo: 97, rat: 1.00e-02, err: 5.70e-01, obj: 1.09e+00, dat: 1.33e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 3.91e-03, val_err:6.39e-01
epo: 99, rat: 1.00e-02, err: 6.09e-01, obj: 1.10e+00, dat: 1.34e-01, fpp: 1.47e+00, bpp: 1.51e+00, upd: 3.93e-03, val_err:6.42e-01
epo: 101, rat: 1.00e-02, err: 5.94e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 1.61e+00, bpp: 1.52e+00, upd: 4.03e-03, val_err:6.80e-01
epo: 103, rat: 1.00e-02, err: 5.94e-01, obj: 1.10e+00, dat: 1.40e-01, fpp: 1.62e+00, bpp: 1.51e+00, upd: 3.90e-03, val_err:6.61e-01
epo: 105, rat: 1.00e-02, err: 5.55e-01, obj: 1.08e+00, dat: 1.37e-01, fpp: 1.61e+00, bpp: 1.36e+00, upd: 4.22e-03, val_err:6.41e-01
epo: 107, rat: 1.00e-02, err: 6.56e-01, obj: 1.10e+00, dat: 1.46e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 3.96e-03, val_err:6.00e-01
epo: 109, rat: 1.00e-02, err: 6.80e-01, obj: 1.11e+00, dat: 1.36e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 3.98e-03, val_err:6.19e-01
epo: 111, rat: 1.00e-02, err: 5.86e-01, obj: 1.07e+00, dat: 2.14e-01, fpp: 1.62e+00, bpp: 1.35e+00, upd: 3.93e-03, val_err:6.49e-01
epo: 113, rat: 1.00e-02, err: 6.17e-01, obj: 1.10e+00, dat: 1.33e-01, fpp: 1.45e+00, bpp: 1.53e+00, upd: 4.00e-03, val_err:6.25e-01
epo: 115, rat: 1.00e-02, err: 6.64e-01, obj: 1.08e+00, dat: 1.40e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.04e-03, val_err:6.99e-01
epo: 117, rat: 1.00e-02, err: 6.09e-01, obj: 1.11e+00, dat: 1.35e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 3.83e-03, val_err:6.58e-01
epo: 119, rat: 1.00e-02, err: 5.86e-01, obj: 1.06e+00, dat: 1.26e-01, fpp: 1.47e+00, bpp: 1.52e+00, upd: 4.19e-03, val_err:6.68e-01
epo: 121, rat: 1.00e-02, err: 6.17e-01, obj: 1.10e+00, dat: 1.38e-01, fpp: 1.61e+00, bpp: 1.51e+00, upd: 4.10e-03, val_err:6.29e-01
epo: 123, rat: 1.00e-02, err: 5.39e-01, obj: 1.09e+00, dat: 1.37e-01, fpp: 1.63e+00, bpp: 1.50e+00, upd: 4.02e-03, val_err:5.94e-01
epo: 125, rat: 1.00e-02, err: 6.56e-01, obj: 1.13e+00, dat: 1.35e-01, fpp: 1.62e+00, bpp: 1.37e+00, upd: 4.00e-03, val_err:6.08e-01
epo: 127, rat: 1.00e-02, err: 6.17e-01, obj: 1.13e+00, dat: 1.37e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 4.00e-03, val_err:6.45e-01
epo: 129, rat: 1.00e-02, err: 5.62e-01, obj: 1.06e+00, dat: 1.41e-01, fpp: 1.63e+00, bpp: 1.52e+00, upd: 3.97e-03, val_err:6.50e-01
epo: 131, rat: 1.00e-02, err: 6.17e-01, obj: 1.12e+00, dat: 1.38e-01, fpp: 1.62e+00, bpp: 1.35e+00, upd: 3.82e-03, val_err:6.14e-01
epo: 133, rat: 1.00e-02, err: 6.02e-01, obj: 1.08e+00, dat: 1.30e-01, fpp: 1.46e+00, bpp: 1.52e+00, upd: 3.97e-03, val_err:5.71e-01
epo: 135, rat: 1.00e-02, err: 5.94e-01, obj: 1.07e+00, dat: 1.34e-01, fpp: 1.63e+00, bpp: 1.51e+00, upd: 4.02e-03, val_err:6.70e-01
epo: 137, rat: 1.00e-02, err: 5.55e-01, obj: 1.06e+00, dat: 1.33e-01, fpp: 1.62e+00, bpp: 1.36e+00, upd: 3.96e-03, val_err:6.18e-01
epo: 139, rat: 1.00e-02, err: 6.72e-01, obj: 1.16e+00, dat: 1.35e-01, fpp: 1.47e+00, bpp: 1.50e+00, upd: 4.19e-03, val_err:6.42e-01
