epo: 56, rat: 1.00e-02, err: 6.41e-01, obj: 1.11e+00, dat: 1.28e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.47e-03, val_err:6.59e-01
epo: 57, rat: 1.00e-02, err: 6.56e-01, obj: 1.11e+00, dat: 1.31e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.42e-03, val_err:6.58e-01
epo: 58, rat: 1.00e-02, err: 6.25e-01, obj: 1.10e+00, dat: 1.30e-01, fpp: 3.22e+00, bpp: 2.86e+00, upd: 7.48e-03, val_err:6.60e-01
epo: 59, rat: 1.00e-02, err: 7.19e-01, obj: 1.18e+00, dat: 1.37e-01, fpp: 3.02e+00, bpp: 3.03e+00, upd: 7.58e-03, val_err:6.96e-01
epo: 60, rat: 1.00e-02, err: 6.72e-01, obj: 1.15e+00, dat: 1.27e-01, fpp: 3.05e+00, bpp: 3.03e+00, upd: 7.35e-03, val_err:6.45e-01
epo: 61, rat: 1.00e-02, err: 5.55e-01, obj: 1.07e+00, dat: 1.37e-01, fpp: 3.04e+00, bpp: 2.85e+00, upd: 7.16e-03, val_err:6.99e-01
epo: 62, rat: 1.00e-02, err: 6.48e-01, obj: 1.13e+00, dat: 1.37e-01, fpp: 3.04e+00, bpp: 2.84e+00, upd: 7.60e-03, val_err:6.83e-01
epo: 63, rat: 1.00e-02, err: 5.78e-01, obj: 1.06e+00, dat: 1.36e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.53e-03, val_err:6.71e-01
epo: 64, rat: 1.00e-02, err: 6.09e-01, obj: 1.14e+00, dat: 1.31e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.38e-03, val_err:6.75e-01
epo: 65, rat: 1.00e-02, err: 7.58e-01, obj: 1.16e+00, dat: 1.34e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.51e-03, val_err:7.26e-01
epo: 66, rat: 1.00e-02, err: 5.94e-01, obj: 1.11e+00, dat: 1.38e-01, fpp: 3.03e+00, bpp: 3.02e+00, upd: 7.36e-03, val_err:6.31e-01
epo: 67, rat: 1.00e-02, err: 6.17e-01, obj: 1.10e+00, dat: 1.33e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.24e-03, val_err:6.90e-01
epo: 68, rat: 1.00e-02, err: 6.17e-01, obj: 1.10e+00, dat: -3.61e-02, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.67e-03, val_err:6.44e-01
epo: 69, rat: 1.00e-02, err: 6.80e-01, obj: 1.11e+00, dat: 1.43e-01, fpp: 3.21e+00, bpp: 2.85e+00, upd: 7.44e-03, val_err:6.63e-01
epo: 70, rat: 1.00e-02, err: 5.86e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 3.20e+00, bpp: 2.86e+00, upd: 7.58e-03, val_err:6.69e-01
epo: 71, rat: 1.00e-02, err: 5.16e-01, obj: 1.05e+00, dat: 1.34e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.38e-03, val_err:6.70e-01
epo: 72, rat: 1.00e-02, err: 6.95e-01, obj: 1.12e+00, dat: 1.26e-01, fpp: 3.05e+00, bpp: 3.02e+00, upd: 7.43e-03, val_err:6.27e-01
epo: 73, rat: 1.00e-02, err: 6.64e-01, obj: 1.10e+00, dat: 1.40e-01, fpp: 3.04e+00, bpp: 2.84e+00, upd: 7.52e-03, val_err:6.51e-01
epo: 74, rat: 1.00e-02, err: 5.86e-01, obj: 1.09e+00, dat: 1.33e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.50e-03, val_err:6.81e-01
epo: 75, rat: 1.00e-02, err: 6.25e-01, obj: 1.09e+00, dat: 1.38e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.51e-03, val_err:6.84e-01
epo: 76, rat: 1.00e-02, err: 5.78e-01, obj: 1.07e+00, dat: 1.28e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.44e-03, val_err:6.33e-01
epo: 77, rat: 1.00e-02, err: 5.70e-01, obj: 1.11e+00, dat: 1.40e-01, fpp: 3.03e+00, bpp: 3.02e+00, upd: 7.38e-03, val_err:6.44e-01
epo: 78, rat: 1.00e-02, err: 6.25e-01, obj: 1.13e+00, dat: 1.31e-01, fpp: 3.05e+00, bpp: 3.02e+00, upd: 7.42e-03, val_err:6.42e-01
epo: 79, rat: 1.00e-02, err: 5.55e-01, obj: 1.08e+00, dat: 1.37e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.51e-03, val_err:6.43e-01
epo: 80, rat: 1.00e-02, err: 6.33e-01, obj: 1.11e+00, dat: 1.26e-01, fpp: 3.23e+00, bpp: 2.85e+00, upd: 7.61e-03, val_err:6.42e-01
epo: 81, rat: 1.00e-02, err: 6.09e-01, obj: 1.12e+00, dat: 1.39e-01, fpp: 3.20e+00, bpp: 2.87e+00, upd: 7.54e-03, val_err:6.28e-01
epo: 82, rat: 1.00e-02, err: 5.70e-01, obj: 1.07e+00, dat: 1.33e-01, fpp: 3.06e+00, bpp: 3.01e+00, upd: 7.53e-03, val_err:6.15e-01
epo: 83, rat: 1.00e-02, err: 6.64e-01, obj: 1.15e+00, dat: 1.44e-01, fpp: 3.02e+00, bpp: 3.03e+00, upd: 7.57e-03, val_err:6.51e-01
epo: 84, rat: 1.00e-02, err: 5.47e-01, obj: 1.09e+00, dat: 1.28e-01, fpp: 3.04e+00, bpp: 3.02e+00, upd: 7.53e-03, val_err:6.26e-01
epo: 85, rat: 1.00e-02, err: 5.62e-01, obj: 1.11e+00, dat: 1.38e-01, fpp: 3.04e+00, bpp: 2.84e+00, upd: 7.18e-03, val_err:6.24e-01
epo: 86, rat: 1.00e-02, err: 5.70e-01, obj: 1.08e+00, dat: 1.32e-01, fpp: 3.21e+00, bpp: 2.84e+00, upd: 7.57e-03, val_err:6.73e-01
epo: 87, rat: 1.00e-02, err: 6.33e-01, obj: 1.12e+00, dat: 1.41e-01, fpp: 3.21e+00, bpp: 2.86e+00, upd: 7.53e-03, val_err:6.35e-01
epo: 88, rat: 1.00e-02, err: 5.31e-01, obj: 1.04e+00, dat: 1.31e-01, fpp: 3.05e+00, bpp: 3.02e+00, upd: 7.52e-03, val_err:5.71e-01
epo: 89, rat: 1.00e-02, err: 6.72e-01, obj: 1.15e+00, dat: 1.43e-01, fpp: 3.03e+00, bpp: 3.03e+00, upd: 7.47e-03, val_err:6.82e-01
epo: 90, rat: 1.00e-02, err: 6.25e-01, obj: 1.09e+00, dat: 1.35e-01, fpp: 3.04e+00, bpp: 2.87e+00, upd: 7.24e-03, val_err:6.65e-01
epo: 91, rat: 1.00e-02, err: 5.70e-01, obj: 1.07e+00, dat: 1.41e-01, fpp: 3.05e+00, bpp: 2.84e+00, upd: 7.48e-03, val_err:6.33e-01
epo: 92, rat: 1.00e-02, err: 6.25e-01, obj: 1.11e+00, dat: 1.27e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.45e-03, val_err:6.25e-01
epo: 93, rat: 1.00e-02, err: 6.25e-01, obj: 1.11e+00, dat: 1.44e-01, fpp: 3.21e+00, bpp: 2.85e+00, upd: 7.57e-03, val_err:5.87e-01
epo: 94, rat: 1.00e-02, err: 6.33e-01, obj: 1.12e+00, dat: 1.44e-01, fpp: 3.02e+00, bpp: 3.03e+00, upd: 7.45e-03, val_err:6.35e-01
epo: 95, rat: 1.00e-02, err: 6.88e-01, obj: 1.16e+00, dat: 1.39e-01, fpp: 3.03e+00, bpp: 3.02e+00, upd: 7.48e-03, val_err:6.61e-01
epo: 96, rat: 1.00e-02, err: 5.31e-01, obj: 1.05e+00, dat: 1.31e-01, fpp: 3.05e+00, bpp: 2.86e+00, upd: 7.32e-03, val_err:6.11e-01
epo: 97, rat: 1.00e-02, err: 6.41e-01, obj: 1.14e+00, dat: 1.40e-01, fpp: 3.20e+00, bpp: 2.84e+00, upd: 7.70e-03, val_err:6.74e-01
epo: 98, rat: 1.00e-02, err: 5.31e-01, obj: 1.08e+00, dat: 1.36e-01, fpp: 3.22e+00, bpp: 2.85e+00, upd: 7.53e-03, val_err:6.07e-01
